term,definition
implementation,внедрение; реализация
implication,последствие; подтекст
imply,подразумевать; означать
import,импортировать; импорт
importance,важность; значение
important,важный; значительный
impose,навязывать; налагать
impossible,невозможный
impress,впечатлять
impression,впечатление
impressive,впечатляющий
improve,улучшать
improvement,улучшение
in,в; внутри
incentive,стимул; побуждение
inch,дюйм
incident,случай; инцидент
include,включать
income,доход
incorporate,включать; объединять
increase,увеличивать; рост
increasingly,все больше; все более
indeed,действительно; в самом деле
independence,независимость
independent,независимый
index,индекс; указатель
indicate,указывать; показывать
indication,признак; указание
individual,индивидуальный; человек
industrial,промышленный
industry,промышленность; отрасль
infant,младенец; ребенок
infection,инфекция
inflation,инфляция
influence,влиять; влияние
inform,информировать; сообщать
information,информация
initial,первоначальный; начальный
initially,первоначально; изначально
initiative,инициатива
injure,ранить; повредить
injury,травма; повреждение
inner,внутренний
innocent,невинный; безобидный
innovation,инновация; новшество
input,ввод; вклад
inquiry,запрос; расследование; вопрос
inside,внутри; внутри помещения
insight,понимание; проницательность
insist,настаивать; утверждать
inspire,вдохновлять; побуждать
install,устанавливать; монтировать
instance,пример; случай
instead,вместо; взамен
institution,учреждение; институт
institutional,институциональный; организационный
instruction,инструкция; указание
instrument,инструмент; прибор
insurance,страхование
insure,страховать; обеспечивать
integrate,интегрировать; объединять
intellectual,интеллектуальный; умственный
intelligence,интеллект; разведка
intend,намереваться; планировать
intense,интенсивный; сильный
intention,намерение; цель
interaction,взаимодействие; общение
interest,интерес; выгода
interior,внутренний; интерьер
internal,внутренний
international,международный
interpret,интерпретировать; объяснять
interpretation,толкование; объяснение
intervention,вмешательство
interview,интервью; собеседование
into,в; внутрь
introduce,представлять; вводить
introduction,введение; знакомство
invent,изобретать; придумывать
invest,инвестировать; вкладывать
investigate,расследовать; исследовать
investigation,расследование; исследование
investment,инвестиция; вложение
investor,инвестор
invitation,приглашение
invite,приглашать
involve,вовлекать; включать
involvement,участие; вовлечённость
iron,утюг; железо
island,остров
isolate,изолировать; отделять
issue,вопрос; проблема; выпуск
it,оно; это
item,предмет; пункт
itself,само; себя
jacket,куртка; пиджак
jail,тюрьма; заключение
job,работа; должность
join,присоединяться; соединять
joint,совместный; сустав
joke,шутка; анекдот
journal,журнал; дневник
journalist,журналист
journey,путешествие; поездка
joy,радость; удовольствие
judge,судья; оценивать
judgment,суждение; решение
jump,прыгать; скачок
jury,жюри; присяжные
just,только; справедливый
justice,справедливость; правосудие
justify,оправдывать; обосновывать
keen,острый; увлечённый
keep,держать; сохранять
key,ключ; основной
kick,пинать; удар ногой
kid,ребёнок; шутить
kill,убивать; уничтожать
kind,вид; добрый
king,король
kiss,поцелуй; целовать
kitchen,кухня
knee,колено
knife,нож
knock,стучать; ударять
know,знать; узнавать
knowledge,знание; осведомлённость
label,этикетка; ярлык
labor,труд; работа
laboratory,лаборатория
lack,недостаток; отсутствие
lady,леди; женщина
lake,озеро
land,земля; приземляться
landscape,пейзаж; ландшафт
language,язык
large,большой; крупный
largely,в основном; главным образом
last,последний; длиться
late,поздний; опоздавший
latter,последний; второй
laugh,смеяться; смех
laughter,смех
launch,запускать; начинать
law,закон
lawyer,юрист; адвокат
lay,класть; положить; накрывать
layer,слой; пласт
lazy,ленивый; праздный
lead,вести; руководить; приводить
leader,лидер; руководитель
leadership,руководство; лидерство
league,лига; союз
lean,наклоняться; худой; опираться
leap,прыжок; прыгать
learn,учить; изучать; узнавать
least,минимум; наименее
leather,кожа; кожаный
leave,оставлять; уходить; отпуск
lecture,лекция; читать лекцию
left,левый; покинул (прошедшее от leave)
leg,нога; ножка
legal,законный; юридический
legislation,законодательство; законы
lend,одалживать; давать взаймы
length,длина; продолжительность
less,меньше; менее
lesson,урок; занятие
let,позволять; сдавать в аренду
letter,буква; письмо
level,уровень; уровень; ровный
liability,ответственность; обязательство
liberal,либеральный; свободомыслящий
library,библиотека
license,лицензия; разрешение
lie,лежать; лгать
life,жизнь
lift,поднимать; лифт
light,свет; легкий; освещать
like,нравиться; похожий; как
likely,вероятный; возможно
limit,ограничение; предел
limitation,ограничение; лимит
line,линия; очередь; строка
link,ссылка; связь; соединять
lip,губа
liquid,жидкость; жидкий
list,список; перечислять
listen,слушать
listener,слушатель
literally,буквально
literary,литературный
literature,литература
little,маленький; немного
live,жить; живой
load,груз; загружать
loan,заём; ссуда
local,местный; локальный
locate,располагать; находить
location,место; расположение
lock,замок; запирать
log,бревно; журнал; регистрировать
logic,логика
long,длинный; долго
look,смотреть; взгляд
loose,свободный; рыхлый
lose,терять; проигрывать
loss,потеря; убыток
lot,много; участок
loud,громкий
love,любовь; любить
lovely,прекрасный; милый
lover,любовник; возлюбленный
low,низкий; слабый
luck,удача; везение
lucky,удачливый; счастливый
lunch,обед
luxury,роскошь; люкс
machine,машина; механизм
mad,злой; сумасшедший
magazine,журнал
magic,магия; волшебство
mail,почта; отправлять по почте
main,главный; основной
mainly,в основном; главным образом
maintain,поддерживать; сохранять
maintenance,обслуживание; поддержание
major,главный; основной; майор
majority,большинство
make,делать; создавать
maker,создатель; производитель
male,мужской; самец
man,мужчина; человек
manage,управлять; справляться
management,управление; руководство
manager,менеджер; управляющий
manner,манера; способ
manufacture,производить; изготовлять
manufacturer,производитель
many,много; многие
map,карта
march,марш; маршировать
margin,край; запас; маржа
mark,отметка; знак; отмечать
market,рынок; маркет
marriage,брак; свадьба
marry,жениться; выходить замуж
mass,масса; масса (толпа)
massive,массивный; огромный; крупный
master,мастер; хозяин; овладевать
match,спичка; матч; подходить
mate,товарищ; партнер; друг
material,материал; вещество
mathematics,математика
matter,вещь; дело; иметь значение
mature,зрелый; взрослый
maximum,максимум; максимальный
may,мочь; май
maybe,возможно; может быть
mayor,мэр
meal,еда; прием пищи
mean,значить; иметь в виду; подлый
meanwhile,тем временем; между тем
measure,измерять; мера
measurement,измерение; размер
meat,мясо
mechanism,механизм; устройство
medical,медицинский
medicine,медицина; лекарство
medium,средний; средство
meet,встречать; знакомиться
member,член (организации)
membership,членство
memory,память
mental,умственный; психический
mention,упоминать
menu,меню
mere,простой; всего лишь
merely,просто; лишь
mess,беспорядок; путаница
message,сообщение; послание
metal,металл
meter,метр; счетчик
method,метод; способ
middle,середина; средний
might,мочь; сила
mile,миля
military,военный
milk,молоко; доить
mind,ум; разум; возражать
mine,мой; шахта
minimum,минимум; минимальный
minister,министр; священник
minor,несовершеннолетний; незначительный
minority,меньшинство
minute,минута; крошечный
mirror,зеркало
miss,пропускать; скучать; мисс
mission,миссия; задание
mistake,ошибка
mix,смешивать
mixture,смесь
mobile,мобильный; подвижный
mode,режим; способ
model,модель; образец
moderate,умеренный; сдержанный
modern,современный
modify,изменять
module,модуль
mom,мама
moment,момент
money,деньги
monitor,монитор; контролировать
month,месяц
monthly,ежемесячный
mood,настроение
moon,луна
moral,моральный; нравственный
more,больше
moreover,более того
morning,утро
mortgage,ипотека
most,большинство; самый
mostly,в основном
mother,мать
motion,движение; жест
motivate,мотивировать
motivation,мотивация
motor,мотор; двигатель
mount,устанавливать; гора
mountain,гора
mouse,мышь
mouth,рот
move,двигаться; переезжать
movement,движение
movie,фильм
much,много
multiple,множественный; многочисленный
murder,убийство; убивать
muscle,мышца
museum,музей
music,музыка
musical,музыкальный; мюзикл
musician,музыкант
must,должен; необходимость
mutual,взаимный
myself,сам; себя; себе
mystery,тайна; загадка; мистерия
name,имя; название; называть
narrative,рассказ; повествование; рассказанный
narrow,узкий; тесный; ограниченный
nation,нация; народ; государство
national,национальный; государственный; народный
native,родной; местный; коренной
natural,естественный; природный; натуральный
naturally,естественно; разумеется; конечно
nature,природа; сущность; характер
near,близко; около; рядом
nearby,поблизости; рядом; недалеко
nearly,почти; приблизительно; около
necessarily,необходимо; обязательно; неизбежно
necessary,необходимый; нужный; обязательный
neck,шея; горлышко; воротник
need,нуждаться; необходимость; нужда
negative,отрицательный; негативный; отрицание
neglect,пренебрегать; игнорировать; запущенность
negotiate,вести переговоры; договариваться; согласовывать
negotiation,переговоры; обсуждение; согласование
neighbor,сосед; соседний; соседка
neighborhood,окрестности; район; соседство
neither,ни один; ни тот; ни тот ни другой
nerve,нерв; смелость; мужество
nervous,нервный; взволнованный; тревожный
net,сеть; чистый (после вычета); сетка
network,сеть; система; сеть связи
never,никогда; ни разу; вовсе не
nevertheless,тем не менее; однако; всё же
new,новый; свежий; недавний
newly,недавно; недавно; заново
news,новости; известия; сведения
newspaper,газета; издание; печатное издание
next,следующий; ближайший; следующий по порядку
nice,приятный; хороший; милый
night,ночь; вечер; темнота
no,нет; никакой; не
nobody,никто; никто из людей; никто вообще
noise,шум; звук; гул
none,никто; ничто; ни один
nor,ни; также не; и не
normal,нормальный; обычный; стандартный
normally,обычно; как правило; в норме
north,север; северный; на север
northern,северный; северянин; северный регион
nose,нос; нюх; носик
not,не; нет; отрицание
note,заметка; записка; заметить
nothing,ничего; ничто; пусто
notice,замечать; уведомление; объявление
notion,понятие; идея; представление
noun,существительное; имя существительное
novel,роман; новый; новелла
now,сейчас; теперь; в данный момент
nowadays,в наши дни; в настоящее время; сегодня
nowhere,никуда; нигде; никуда не
nuclear,ядерный; атомный; ядерная энергия
number,число; номер; количество
numerous,многочисленный; многочисленное количество; многочисленные
nurse,медсестра; ухаживать; сиделка
object,объект; предмет; возражать
objective,цель; объективный; задача
obligation,обязанность; обязательство; долг
observation,наблюдение; замечание; осмотр
observe,наблюдать; замечать; соблюдать
obvious,очевидный; явный; понятный
obviously,очевидно; явно; разумеется
occasion,случай; повод; событие
occasionally,иногда; время от времени; порой
occupy,занимать; оккупировать; занимать место
occur,происходить; случаться; возникать
ocean,океан; море; большой водоем
odd,странный; нечетный; необычный
of,из; от; о
off,выключенный; прочь; с
offense,правонарушение; оскорбление; нападение
offer,предлагать; предложение; оферта
office,офис; кабинет; служба
officer,офицер; сотрудник; должностное лицо
official,официальный; должностное лицо; чиновник
often,часто; нередко; зачастую
oil,масло; нефть; смазка
okay,хорошо; ладно; нормально
old,старый; пожилой; давний
on,на; включено; по
once,однажды; когда-то; один раз
one,один; единица; кто-то
online,онлайн; в сети; подключенный
only,только; единственный; лишь
onto,на; на поверхность; к
open,открытый; открывать; свободный
opera,опера; оперный театр; оперное искусство
operate,работать; оперировать; действовать
operation,операция; работа; действие
operator,оператор; работник; машинист
opinion,мнение; взгляд; точка зрения
opponent,противник; оппонент; соперник
opportunity,возможность; шанс; удобный случай
oppose,противостоять; возражать; сопротивляться
opposite,противоположный; напротив; обратный
opposition,оппозиция; противодействие; сопротивление
option,вариант; выбор; опция
or,или
orange,апельсин; оранжевый
order,порядок; заказ; приказ
ordinary,обычный; простой; заурядный
organic,органический; биологический
organization,организация; учреждение; объединение
organize,организовывать; устраивать; проводить
origin,происхождение; источник; начало
original,оригинальный; первоначальный; подлинный
originally,первоначально; изначально
other,другой; иной
otherwise,иначе; в противном случае; по-другому
ought,должен; следует
ourselves,сами; себя
out,вне; наружу; законченный
outcome,результат; исход; последствие
outline,контур; план; набросок
output,выход; продукция; выпуск
outside,снаружи; вне; наружный
over,над; через; свыше
overall,в целом; общий; полный
overcome,преодолевать; побеждать
overseas,за границей; зарубежный
owe,быть должным; задолжать
own,собственный; владеть
owner,владелец; хозяин
ownership,собственность; владение
pace,темп; скорость; шаг
pack,упаковывать; пакет; пачка
package,пакет; упаковка; посылка
page,страница; лист
pain,боль; страдание
paint,красить; краска; рисовать
pair,пара; двойка
pale,бледный; светлый
panel,панель; комиссия; группа
panic,паника; страх
paper,бумага; статья; документ
paragraph,абзац; параграф
parallel,параллельный; аналогичный
parent,родитель; мать или отец
park,парк; парковать
part,часть; роль; деталь
participant,участник; участница
participate,участвовать; принимать участие
participation,участие; участие в чем-либо
particular,особый; конкретный; определённый
particularly,особенно; в частности
partly,частично; отчасти
partner,партнёр; компаньон
partnership,партнёрство; сотрудничество
party,вечеринка; партия; группа
pass,проходить; сдавать; проход
passage,проход; отрывок; пассаж
passenger,пассажир
passion,страсть; увлечение
past,прошлое; мимо; прошлый
path,путь; тропа
patient,пациент; терпеливый
pattern,узор; образец; шаблон
pause,пауза; остановка
pay,платить; оплата
payment,платёж; выплата
peace,мир; покой
peak,пик; вершина
peer,ровесник; сверстник
pen,ручка; загон; перо
penalty,штраф; наказание
pension,пенсия
people,люди; народ
per,за; на
perceive,воспринимать; ощущать
percent,процент
percentage,процентное соотношение; доля
perception,восприятие; понимание
perfect,идеальный; совершенный
perfectly,совершенно; идеально
perform,выполнять; выступать
performance,выступление; производительность
perhaps,возможно; может быть
period,период; срок
permanent,постоянный; неизменный
permission,разрешение; согласие
permit,разрешать; позволять
person,человек; личность
personal,личный; персональный
personality,личность; характер
personally,лично; лично для меня
personnel,персонал; сотрудники
perspective,перспектива; точка зрения
persuade,убеждать; склонять
phase,фаза; этап
phenomenon,явление; феномен
philosophy,философия
phone,телефон; звонить
photo,фото; фотография
photograph,фотография; снимок
phrase,фраза; выражение
physical,физический; телесный
piano,пианино; рояль
pick,выбирать; собирать; выбирать
picture,картина; изображение; фото
piece,кусок; часть
pig,свинья
pile,куча; стопка
pilot,пилот; летчик
pink,розовый
pipe,труба; трубка
pitch,подача; поле; тон
place,место; помещать
plain,равнина; простой; ясный
plan,план; планировать
plane,самолет; плоскость
planet,планета
plant,растение; завод
plastic,пластик; пластмасса
plate,тарелка; пластина
platform,платформа; помост
play,играть; спектакль
player,игрок; исполнитель
pleasant,приятный; милый
please,пожалуйста; угождать
pleasure,удовольствие; радость
plenty,много; изобилие
plot,сюжет; участок; заговор
plus,плюс; положительный
pocket,карман
poem,стихотворение
poet,поэт
poetry,поэзия
point,точка; смысл; указывать
police,полиция
policy,политика; стратегия
political,политический
politician,политик
politics,политика
poll,опрос; голосование
pollution,загрязнение
pool,бассейн; лужа
poor,бедный; плохой
pop,поп; популярный
popular,популярный
population,население
port,порт; гавань
portion,часть; порция
portrait,портрет
pose,поза; позировать
position,положение; позиция
positive,положительный; уверенный
possess,обладать; владеть
possession,владение; имущество
possibility,возможность
possible,возможный
possibly,возможно
post,почта; должность; размещать
pot,горшок; кастрюля
potato,картофель
potential,потенциал; потенциальный
potentially,потенциально
pound,фунт; бить
pour,лить; наливать
poverty,бедность
power,сила; власть
powerful,мощный; сильный
practical,практический
practice,практика; тренироваться
praise,хвала; хвалить
pray,молиться
precise,точный
precisely,ровно; точно
predict,предсказывать
prefer,предпочитать
preference,предпочтение
pregnancy,беременность
pregnant,беременная
premise,предпосылка; помещение
preparation,подготовка
prepare,готовить
presence,присутствие
present,настоящий; подарок; присутствовать
presentation,презентация; представление
preserve,сохранять; консервировать
president,президент
presidential,президентский
press,пресса; нажимать
pressure,давление; давление
presumably,вероятно
pretend,притворяться
pretty,симпатичный; довольно
prevent,предотвращать
previous,предыдущий
previously,ранее
price,цена
pride,гордость
primarily,в первую очередь
primary,основной; первичный
prime,первичный; главный; основной
principal,директор; главный; основной
principle,принцип; правило
print,печать; печатать
printer,принтер; печатник
prior,предварительный; предыдущий; до
priority,приоритет; первоочередность
prison,тюрьма; заключение
prisoner,заключённый; пленник
private,частный; личный; приватный
privilege,привилегия; льгота
prize,приз; награда
pro,профессионал; за (в поддержку)
probability,вероятность; возможность
probably,вероятно; возможно
problem,проблема; задача
procedure,процедура; порядок
proceed,продолжать; приступать
process,процесс; обработка
produce,производить; продукция
producer,производитель; продюсер
product,продукт; изделие
production,производство; выпуск
profession,профессия; специальность
professional,профессионал; профессиональный
professor,профессор; преподаватель
profile,профиль; характеристика
profit,прибыль; выгода
program,программа; план
progress,прогресс; развитие
project,проект; план
promise,обещание; обещать
promote,продвигать; способствовать
promotion,повышение; продвижение
prompt,быстрый; подсказка; побуждать
proof,доказательство; проверка
proper,правильный; подходящий
properly,правильно; должным образом
property,собственность; имущество
proportion,пропорция; соотношение
proposal,предложение; план
propose,предлагать; делать предложение
prospect,перспектива; шанс
protect,защищать; охранять
protection,защита; охрана
protein,белок; протеин
protest,протест; протестовать
proud,гордый; довольный
prove,доказывать; подтверждать
provide,обеспечивать; предоставлять
province,провинция; область
provision,положение; снабжение
psychological,психологический
pub,паб; бар
public,общественный; публичный
publication,публикация; издание
publisher,издатель; издательство
pull,тянуть; тяга
pump,насос; качать
pupil,ученик; зрачок
purchase,покупка; покупать
pure,чистый; настоящий
purpose,цель; намерение
pursue,преследовать; добиваться
push,толкать; нажимать
put,класть; ставить
qualification,квалификация; диплом
qualify,квалифицироваться; соответствовать
quality,качество; свойство
quantity,количество; объём
quarter,четверть; район
question,вопрос; сомнение
quick,быстрый; скорый
quickly,быстро; скоро
quiet,тихий; спокойный
quietly,тихо; спокойно
quite,довольно; вполне
quote,цитата; цитировать
race,гонка; раса
racial,расовый
radical,радикальный; коренной
radio,радио; радиоприёмник
rail,рельс; ограда
rain,дождь; идти (о дожде)
raise,поднимать; повышать
random,случайный; произвольный
range,диапазон; ряд
rank,ранг; звание
rapid,быстрый; стремительный
rapidly,быстро; стремительно
rare,редкий; необычный
rarely,редко; изредка
rat,крыса; доносчик
rate,ставка; оценка
rather,скорее; довольно
ratio,соотношение; пропорция
raw,сырой; необработанный
reach,достигать; добираться
react,реагировать; отвечать
reaction,реакция; ответ
read,читать; прочитывать
reader,читатель; ридер
ready,готовый; подготовленный
real,реальный; настоящий
reality,реальность; действительность
realize,осознавать; понимать
really,действительно; на самом деле
rear,задний; тыловой
reason,причина; повод; рассудок
reasonable,разумный; приемлемый
reasonably,разумно; достаточно
recall,вспоминать; отзывать
receive,получать; принимать
recent,недавний; последний
recently,недавно; в последнее время
reckon,считать; полагать
recognition,признание; узнавание
recognize,узнавать; признавать
recommend,рекомендовать; советовать
recommendation,рекомендация; совет
record,запись; рекорд; регистрировать
recover,восстанавливаться; выздоравливать
recovery,восстановление; выздоровление
recruit,набирать; вербовать; новобранец
red,красный
reduce,уменьшать; сокращать
reduction,сокращение; уменьшение
refer,ссылаться; обращаться
reference,ссылка; рекомендация
reflect,отражать; размышлять
reflection,отражение; размышление
reform,реформа; реформировать
refugee,беженец
refuse,отказываться; отказывать
regard,считать; уважение
regardless,несмотря на; независимо от
region,регион; область
regional,региональный; областной
register,регистрировать; регистр
registration,регистрация
regret,сожалеть; сожаление
regular,регулярный; обычный
regularly,регулярно; постоянно
regulate,регулировать; управлять
regulation,регулирование; правило
reject,отклонять; отвергать
relate,относиться; связывать
relation,отношение; связь
relationship,отношения; связь
relative,относительный; родственник
relatively,относительно; сравнительно
relax,расслабляться; отдыхать
release,выпускать; освобождать
relevant,соответствующий; уместный
reliable,надежный; достоверный
relief,облегчение; помощь
religion,религия
religious,религиозный
rely,полагаться; зависеть
remain,оставаться; сохраняться
remark,замечание; замечать
remarkable,замечательный; выдающийся
remember,помнить; вспоминать
remind,напоминать
remote,удаленный; далекий
remove,удалять; снимать
rent,арендовать; аренда
repair,ремонтировать; ремонт
repeat,повторять; повтор
replace,заменять; заменять
reply,отвечать; ответ
report,отчет; доклад; сообщать
reporter,репортер; корреспондент
represent,представлять; изображать
representation,представление; изображение
representative,представитель; типичный
reputation,репутация; слава
request,запрос; просьба; запрашивать
require,требовать; нуждаться
requirement,требование; условие
rescue,спасать; спасение
research,исследование; исследовать
researcher,исследователь
reserve,резервировать; запас
resident,житель; резидент
resign,увольняться; уходить в отставку
resist,сопротивляться; противостоять
resistance,сопротивление; противодействие
resolution,решение; разрешение
resolve,решать; разрешать
resort,курорт; прибегать
resource,ресурс; средство
respect,уважение; уважать
respectively,соответственно
respond,отвечать; реагировать
response,ответ; реакция
responsibility,ответственность; обязанность
responsible,ответственный; ответственный за
rest,отдыхать; остальное
restaurant,ресторан
restore,восстанавливать; возвращать
restrict,ограничивать; сдерживать
restriction,ограничение; запрет
result,результат; следствие
retail,розничная торговля; розница
retain,сохранять; удерживать
retire,уходить на пенсию; выходить в отставку
retirement,выход на пенсию; пенсия
return,возвращать(ся); возвращение
reveal,раскрывать; показывать
revenue,доход; выручка
reverse,обратный; менять(на обратный)
review,обзор; пересматривать
revise,пересматривать; исправлять
revolution,революция; переворот
reward,награда; вознаграждение
rice,рис
rich,богатый; насыщенный
rid,избавлять(ся)
ride,ездить верхом; поездка
right,право; правильный; справа
ring,кольцо; звонить
rise,подниматься; рост
risk,риск; опасность
rival,соперник; конкурент
river,река
road,дорога; путь
rock,камень; скала
role,роль
roll,катить(ся); рулон
romantic,романтический
roof,крыша
room,комната; место
root,корень; источник
rose,роза
rough,грубый; неровный
roughly,примерно; грубо
round,круглый; вокруг
route,маршрут; путь
routine,рутина; обычный
row,ряд; грести
royal,королевский
ruin,разрушать; руины
rule,правило; управлять
run,бежать; управлять
rural,сельский; деревенский
rush,спешить; торопиться
sad,грустный; печальный
safe,безопасный; сейф
safety,безопасность; охрана
sail,парус; плыть под парусом
sake,ради; польза
salary,зарплата; оклад
sale,продажа; распродажа
salt,соль
same,тот же; одинаковый
sample,образец; проба
sanction,санкция; разрешение
sand,песок
satisfaction,удовлетворение; довольство
satisfy,удовлетворять; соответствовать
save,сохранять; спасать
say,говорить; сказать
scale,масштаб; шкала
scan,сканировать; просматривать
scare,пугать; страх
scene,сцена; место действия
schedule,расписание; график
scheme,схема; план
scholar,учёный; стипендиат
school,школа
science,наука
scientific,научный
scientist,учёный
scope,область; масштаб
score,счёт; балл
scream,кричать; крик
screen,экран; показывать
sea,море
seal,печать; тюлень
search,искать; поиск
season,сезон; время года
seat,место; сиденье
second,второй; секунда
secondary,вторичный; средний
secondly,во-вторых
secret,секрет; тайна
secretary,секретарь
section,раздел; секция
sector,сектор; область
secure,обеспечивать; безопасный
security,безопасность; охрана
see,видеть; понимать
seed,семя; зерно
seek,искать; стремиться
seem,казаться; выглядеть
segment,сегмент; часть
select,выбирать; отбирать
selection,выбор; подбор
self,сам; себя
sell,продавать; торговать
send,отправлять; посылать
senior,старший; пожилой
sense,чувство; смысл; ощущение
sensitive,чувствительный; деликатный
sentence,предложение; приговор
separate,отдельный; разделять
sequence,последовательность; порядок
series,серия; цикл
serious,серьёзный; важный
seriously,серьёзно; всерьёз
servant,слуга; работник
serve,служить; подавать
server,сервер; официант
service,обслуживание; служба
session,сессия; заседание
set,набор; комплект; устанавливать
settle,урегулировать; поселяться
settlement,поселение; урегулирование
several,несколько; некоторые
severe,серьёзный; строгий
sex,пол; секс
sexual,сексуальный; половой
shade,тень; оттенок
shadow,тень; силуэт
shake,трясти; встряхивать
shall,должен; следует
shape,форма; образ
share,делиться; доля
shareholder,акционер; держатель акций
sharp,острый; резкий
she,она
sheep,овца; овцы
sheet,лист; простыня
shelf,полка
shell,ракушка; снаряд
shelter,убежище; приют
shift,смена; сдвигать
shine,светить; блестеть
ship,корабль; судно
shirt,рубашка
shock,шок; потрясение
shoe,ботинок; обувь
shoot,стрелять; снимать (видео)
shop,магазин; покупать
shore,берег; побережье
short,короткий; низкий
shot,выстрел; кадр
should,следует; должен
shoulder,плечо
shout,кричать; крик
show,показывать; шоу
shower,душ; ливень
shut,закрывать; закрытый
sick,больной; плохо себя чувствующий
side,сторона; бок
sigh,вздыхать; вздох
sight,зрение; вид
sign,знак; подписывать
signal,сигнал; сигнализировать
significance,значение; важность
significant,значительный; важный
significantly,значительно; существенно
silence,тишина; молчание
silent,тихий; молчаливый
silly,глупый; смешной
silver,серебро; серебряный
similar,похожий; аналогичный
similarly,аналогично; так же
simple,простой; лёгкий
simply,просто; лишь
since,с тех пор как; поскольку
sing,петь
singer,певец; певица
single,одинокий; один
sink,тонуть; раковина
sir,сэр; господин
sister,сестра
sit,сидеть
site,место; сайт
situate,располагать; размещать
situation,ситуация; положение
size,размер
ski,кататься на лыжах; лыжа
skill,навык; умение
skin,кожа; шкура
skirt,юбка
sky,небо
slave,раб
sleep,спать; сон
slice,кусок; ломтик
slide,скользить; слайд
slight,незначительный; лёгкий
slightly,слегка; немного
slip,скользить; поскользнуться
slope,склон; наклон
slow,медленный
slowly,медленно
small,маленький; небольшой
smart,умный; аккуратный; сообразительный
smell,запах; нюхать
smile,улыбка; улыбаться
smoke,дым; курить
smooth,гладкий; ровный
snap,щелчок; ломать; резко говорить
snow,снег; идти (о снеге)
so,так; поэтому; настолько
social,социальный; общественный
society,общество; сообщество
soft,мягкий; нежный
software,программное обеспечение; софт
soil,почва; земля
solar,солнечный
soldier,солдат
solid,твердый; сплошной
solution,решение; раствор
solve,решать; разрешать
some,некоторый; немного
somebody,кто-то; кто-нибудь
somehow,как-то; каким-то образом
someone,кто-то; кто-нибудь
something,что-то; кое-что
sometimes,иногда
somewhat,в некоторой степени; немного
somewhere,где-то; куда-то
son,сын
song,песня
soon,скоро; вскоре
sorry,извините; жаль
sort,вид; сорт; сортировать
soul,душа
sound,звук; звучать
source,источник
south,юг; южный
southern,южный
space,пространство; космос
spare,запасной; лишний; жалеть
speak,говорить; выступать
speaker,говорящий; динамик; оратор
special,особенный; специальный
specialist,специалист
specialize,специализироваться
species,вид; разновидность
specific,конкретный; специфический
specifically,конкретно; специально
specify,уточнять; указывать
speech,речь; выступление
speed,скорость; спешить
spell,произносить по буквам; писать по буквам
spend,тратить; проводить (время)
spin,крутить; вращаться
spirit,дух; настроение
split,раскалывать; разделять
sponsor,спонсор; спонсировать
sport,спорт
spot,место; пятно; замечать
spread,распространять; распространяться
spring,весна; прыгать
square,площадь; квадратный
stability,стабильность
stable,стабильный; стойло
staff,персонал; штат
stage,этап; сцена
stain,пятно; пачкать
stair,ступенька; лестница
stake,кол; ставка; доля
stamp,марка; штамп; топать
stand,стоять; стенд
standard,стандарт; стандартный
star,звезда
stare,пристально смотреть
start,начинать; старт
state,государство; состояние; заявлять
statement,заявление; утверждение
station,станция; вокзал
statistic,статистика
status,статус; положение
stay,оставаться; проживать
steady,устойчивый; постоянный
steal,красть
steel,сталь
stem,стебель; происходить
step,шаг; ступенька; шагать
stick,палка; приклеивать; придерживаться
still,все еще; тихий
stimulate,стимулировать; побуждать
stir,мешать; шевелить
stock,запас; акция
stomach,живот; желудок
stone,камень
stop,останавливаться; остановка
storage,хранение; склад
store,магазин; хранить
storm,буря; штурмовать
story,история; рассказ; этаж
straight,прямой; прямо
strain,напряжение; нагрузка; напрягать
strange,странный; незнакомый
stranger,незнакомец
strategy,стратегия
stream,ручей; поток; поток данных
street,улица; дорога
strength,сила; прочность; мощь
strengthen,усиливать; укреплять
stress,стресс; ударение; напряжение
stretch,тянуться; растягивать; протяжение
strict,строгий; точный
strike,бить; ударять; забастовка
string,строка; верёвка; нитка
strip,полоса; раздевать; снимать
stroke,удар; инсульт; поглаживание
strong,сильный; крепкий; мощный
strongly,сильно; решительно
structural,структурный; строительный
structure,структура; строение
struggle,борьба; бороться; усилие
student,студент; учащийся
studio,студия; мастерская
study,учёба; изучать; исследование
stuff,вещи; материал; хлам
stupid,глупый; тупой
style,стиль; манера
subject,тема; предмет; подчинённый
submit,представлять; подчиняться; сдавать
subsequent,последующий; следующий
subsequently,впоследствии; затем
substance,вещество; суть
substantial,существенный; значительный; прочный
substitute,заменять; замена
succeed,преуспевать; добиваться успеха
success,успех; достижение
successful,успешный; удачный
successfully,успешно; удачно
such,такой; подобный
sudden,внезапный; неожиданный
suddenly,внезапно; вдруг
suffer,страдать; терпеть
sufficient,достаточный; достаток
sugar,сахар
suggest,предлагать; намекать
suggestion,предложение; совет
suit,костюм; подходить
suitable,подходящий; пригодный
sum,сумма; итог
summarize,резюмировать; подводить итог
summary,резюме; краткое изложение
summer,лето
sun,солнце
supplement,дополнение; добавлять
supplier,поставщик
supply,поставка; снабжать
support,поддержка; поддерживать
supporter,сторонник; болельщик
suppose,предполагать; думать
sure,уверенный; конечно
surely,конечно; безусловно
surface,поверхность; внешний вид
surgery,хирургия; операция
surprise,сюрприз; удивлять
surprisingly,удивительно; неожиданно
surround,окружать; обступать
survey,опрос; обследование
