term,definition
friendship,a close and trusting relationship between people
frighten,to make someone feel afraid
from,indicating the starting point or source
front,the forward part or surface of something
fruit,the sweet part of a plant that contains seeds
fuel,a material burned to produce energy
fulfill,to complete or achieve something desired
full,containing as much as possible
fully,completely or entirely
fun,enjoyment or amusement
function,the purpose or job of something
functional,working properly or useful
fund,a sum of money saved or provided for a purpose
"fundamental","basic and important, forming a foundation"
funny,causing laughter or amusement
furniture,movable objects like chairs and tables in a room
further,more distant or additional
"furthermore","in addition, also"
future,the time that comes after the present
gain,to get or increase something
gallery,a room or building for showing art
game,an activity played for fun or sport
gap,an empty space or opening
garden,a piece of land for growing plants
gas,a substance like air that you cannot see
gate,a movable barrier at an entrance
gather,to bring things or people together
gay,happy or relating to being attracted to the same sex
gaze,to look steadily at something
gear,equipment or tools for a purpose
gender,whether someone is male or female
gene,a part of DNA that controls traits
general,common or not specific
generally,usually or in most cases
generate,to produce or create something
generation,all people born around the same time
genetic,relating to genes or heredity
gentle,kind and soft in action
gentleman,a polite and well-mannered man
gently,in a soft or careful way
genuine,real or honest
gesture,a movement to express an idea or feeling
get,to receive or obtain something
giant,very large or huge
gift,something given to someone without payment
girl,a female child or young woman
give,to offer or hand something to someone
glad,happy or pleased
glance,a quick or brief look
"glass","a hard, clear material used for windows"
global,relating to the whole world
go,to move from one place to another
goal,something you want to achieve
god,a supreme being or deity
gold,a valuable yellow metal
golden,made of or like gold
golf,a sport where players hit a ball into holes
good,having positive qualities or being right
govern,to control or lead a group or country
government,the group that runs a country or area
governor,a person who leads a state or region
grab,to quickly take or hold something
grade,a level or score in school or quality
gradually,happening slowly over time
graduate,to finish a course of study
grain,small hard seeds from plants like wheat
grammar,rules for using words in a language
"grand","large, impressive, or important"
grandmother,the mother of your parent
grant,to give or allow something officially
grass,green plants that cover the ground
grateful,feeling thankful or appreciative
gray,a color between black and white
great,very good or large in size
greatly,to a large extent or degree
green,the color of grass or leaves
greet,to say hello to someone
grin,a big smile showing teeth
ground,the surface of the earth
group,a number of people or things together
grow,to become bigger or develop
growth,the process of increasing in size
guarantee,a promise that something will happen
guard,to protect or watch over something
guess,to give an answer without sure knowledge
guest,a person invited to a place or event
guide,a person who shows the way
guideline,a rule or advice to follow
guilty,feeling responsible for a wrong act
guitar,a stringed musical instrument
gun,a weapon that shoots bullets
guy,an informal word for a man
habit,a regular way of doing something
hair,the thin strands growing on your head
half,one of two equal parts
hall,a large room or corridor
hand,the part at the end of your arm
handle,to hold or control something
hang,to suspend or attach from above
happen,to take place or occur
happiness,the state of feeling joy or pleasure
happy,feeling or showing pleasure or contentment
harbor,a place where ships can safely dock
hard,difficult to do or understand
"hardly","almost not, barely"
harm,to cause injury or damage
hat,a covering for the head
hate,to feel strong dislike for something
have,to own or possess something
he,a male person or animal
head,the top part of the body with the brain
health,the condition of being well or free from illness
healthy,in good physical or mental condition
hear,to perceive sound with the ears
heart,the organ that pumps blood in the body
heat,the quality of being hot or warm
heavily,in a strong or intense way
heavy,having great weight
height,the measurement from base to top
hell,a place of punishment after death
hello,a greeting used when meeting someone
help,to assist or aid someone
helpful,giving or ready to give help
"hence","for this reason, therefore"
here,in this place
hero,a person admired for courage or deeds
herself,referring to a female person previously mentioned
hesitate,to pause before doing something
hi,a casual greeting
hide,to put out of sight
high,far above the ground or another point
highlight,to emphasize or make something stand out
highly,to a great degree or level
hill,a naturally raised area of land
himself,referring to a male person previously mentioned
hint,a small or indirect suggestion
hire,to employ someone for work
historian,a person who studies or writes about history
historic,important in history or likely to be remembered
historical,related to past events or history
history,the study or record of past events
hit,to strike or touch something forcefully
hold,to grasp or carry something with hands
holder,a person or thing that holds something
hole,an empty space or opening in a surface
holiday,a day for rest or celebration
home,a place where someone lives
honest,telling the truth and being fair
honor,high respect or recognition
hook,a curved piece used for catching or holding
hope,to want something to happen
hopefully,in a way that shows hope
horrible,very bad or unpleasant
horse,a large animal used for riding or work
hospital,a place where sick people get care
host,a person who receives guests
hot,having a high temperature
hotel,a place where people pay to stay overnight
hour,a period of sixty minutes
house,a building for people to live in
household,all the people living in one home
how,in what way or manner
"however","but, in spite of that"
huge,very large in size or amount
"human","a person, relating to people"
humor,the quality of being funny or amusing
hunger,the feeling of needing food
hunt,to search for and catch animals or things
hurry,to move or act quickly
hurt,to cause pain or injury
husband,a married man
hypothesis,an idea to be tested or proved
I,the person speaking or writing
ice,frozen water
idea,a thought or plan
ideal,perfect or most suitable
identify,to recognize or name someone or something
identity,who someone is
if,used to introduce a condition or possibility
ignore,to pay no attention to something or someone
ill,not feeling well or sick
illegal,not allowed by law
illness,a state of being sick or unwell
illustrate,to explain or decorate with pictures
illustration,a picture or drawing explaining something
image,a picture or visual representation
imagination,the ability to form new ideas or pictures in mind
imagine,to form a picture or idea in your mind
immediate,happening right away or without delay
"immediately","right away, without any waiting"
immigrant,a person who moves to a new country to live
immigration,the act of moving to a new country to live
implement,to put a plan or idea into action
implementation,the process of putting a plan into action
implication,a possible effect or result of something
imply,to suggest something without saying it directly
import,to bring goods into a country from abroad
importance,the state of being valuable or significant
important,having great value or meaning
impose,to force something to be accepted or done
impossible,not able to be done or achieved
impress,to make someone admire or respect you
impression,an idea or feeling about something or someone
impressive,causing admiration or respect
improve,to make something better
improvement,a change that makes something better
in,inside or within something
incentive,something that encourages a person to do something
inch,a small unit of length equal to 2.54 centimeters
"incident","an event or occurrence, often unusual or unpleasant"
include,to have something as part of a whole
income,money received regularly for work or investments
incorporate,to include or combine into a whole
increase,to become larger or greater
increasingly,more and more over time
indeed,used to emphasize a statement or truth
independence,freedom from control or influence by others
independent,not controlled or influenced by others
index,an alphabetical list of topics or names with page numbers
indicate,to show or point out something
indication,a sign or piece of evidence
individual,a single person or thing
industrial,related to factories or manufacturing
industry,business activity or a type of business
infant,a very young baby or child
infection,the spread of germs causing illness
inflation,rise in prices over time
influence,the power to affect someone or something
inform,to give someone information
information,facts or knowledge about something
initial,first or beginning
initially,at the beginning or first
initiative,a new plan or action to solve a problem
injure,to hurt or cause harm to someone
injury,harm or damage to the body
inner,located inside or within something
innocent,not guilty or harmless
innovation,a new idea or invention
input,information or resources put into a system
inquiry,a question or investigation
inside,within the inner part of something
insight,a clear understanding of a situation
insist,to demand firmly or persistently
inspire,to motivate or encourage someone
install,to set up or put in place
instance,an example or case of something
instead,as an alternative or replacement
institution,an organization or establishment
institutional,relating to an organization or system
instruction,a direction or order on how to do something
instrument,a tool or device for a task
insurance,protection against financial loss
insure,to provide insurance coverage
integrate,to combine or bring together
intellectual,relating to thinking and understanding
intelligence,the ability to learn and understand
intend,to plan or mean to do something
intense,very strong or extreme
intention,a plan or purpose to do something
interaction,communication or direct involvement between people or things
interest,a feeling of wanting to learn or know about something
interior,the inside part of something
internal,inside or within something
international,involving more than one country
interpret,to explain the meaning of something
interpretation,the act of explaining the meaning of something
intervention,the act of becoming involved to change a situation
interview,a formal meeting to ask questions or get information
into,expressing movement or direction toward the inside
introduce,to make someone known to another person
introduction,the act of making someone known or starting something
invent,to create something new that did not exist before
invest,to put money or effort into something for future benefit
investigate,to carefully examine or study something to find out facts
investigation,the process of trying to find out the truth about
investment,the act of putting money into something to earn profit
investor,a person who puts money into something to earn profit
invitation,a request to attend or participate in an event
invite,to ask someone to come or join an event
involve,to include or affect someone or something
involvement,the act of taking part in something
iron,a strong metal used for making tools and objects
island,a piece of land surrounded by water
isolate,to separate from others or keep apart
issue,an important topic or problem for discussion
it,used to refer to a thing previously mentioned
item,a single thing or object
itself,referring back to a thing previously mentioned
jacket,a piece of clothing worn on the upper body
jail,a place for keeping people as punishment or while waiting
job,work done to earn money
join,to connect or become part of something
joint,shared by two or more people or parts
joke,something said or done to cause laughter
journal,a daily record of personal experiences or events
journalist,a person who writes news stories for newspapers or media
journey,a trip from one place to another
joy,a feeling of great happiness
judge,a person who decides the outcome in a court case
judgment,the ability to make decisions or form opinions
jump,to push yourself off the ground using your legs
jury,a group of people who decide a court case
just,fair or morally right
justice,fair treatment according to the law
justify,to show or prove something is right
keen,very interested or eager
keep,to have or hold something
key,a small tool to open locks or important
kick,to hit something with your foot
kid,a child or young person
kill,to cause someone or something to die
kind,nice or caring toward others
king,a male ruler of a country
kiss,to touch with lips to show love
kitchen,a room where food is cooked
knee,the joint between thigh and lower leg
knife,a tool with a sharp blade for cutting
knock,to hit a surface to get attention
know,to have information or be aware of
knowledge,information and understanding about something
label,a piece of paper or tag with information
"labor","work, especially physical work"
laboratory,a room for scientific experiments
lack,to not have enough of something
lady,a polite word for a woman
lake,a large body of water surrounded by land
land,the solid part of the earths surface
landscape,the visible features of an area of land
language,a system of words used for communication
large,big in size or amount
largely,mostly or mainly
last,to continue for a certain time
late,after the expected or usual time
latter,the second of two things mentioned
laugh,to make sounds showing happiness or fun
laughter,the sound made when laughing
launch,to start or send something into motion
law,a rule made by a government
lawyer,a person who practices or studies law
lay,put something down carefully or in a flat position
layer,a single thickness or level of material
lazy,unwilling to work or use effort
lead,to guide or be in charge
leader,a person who leads or directs others
leadership,the act of guiding or directing a group
league,a group of sports teams or countries united
lean,to rest against or incline in a direction
leap,to jump a long distance or height
learn,to gain knowledge or skill by study or experience
"least","smallest in amount, degree, or importance"
leather,material made from animal skin
leave,to go away from a place
lecture,a talk given to teach or inform
"left","opposite of right, remaining or departed"
leg,a limb used for standing or walking
legal,allowed or required by law
legislation,laws made by a government
lend,to give something temporarily
length,the measurement of something from end to end
less,a smaller amount or degree
lesson,a period of learning or teaching
let,to allow or permit
letter,a written or printed message sent to someone
level,a position or height relative to a standard
liability,legal responsibility for something
liberal,open to new ideas or willing to change
library,a place where books are kept for reading or borrowing
license,official permission to do something
lie,to rest in a flat position or tell an untruth
life,the state of being alive
lift,to raise something upward
light,something that makes things visible or not heavy
like,to enjoy or find pleasing
likely,probably going to happen
limit,a point or level beyond which something cannot go
limitation,a restriction or boundary
"line","a long, narrow mark or band"
link,to connect or join together
lip,the edge of the mouth
liquid,a substance that flows and has no fixed shape
list,a series of items written or spoken one after another
listen,to pay attention to sounds or someone speaking
listener,a person who hears or pays attention to sounds
literally,in the exact or most basic meaning of words
"literary","relating to books, writing, or literature"
"literature","written works like books, poems, and stories"
"little","small in size, amount, or degree"
live,to be alive or happen in real time
load,to put a heavy thing onto something else
loan,money or item given temporarily to be returned
local,relating to a nearby area or community
locate,to find the exact place of something
location,a particular place or position
lock,a device to fasten something securely
log,a record of events or a piece of wood
"logic","reasoning done in a clear, sensible way"
long,measuring a great distance or time
look,to direct your eyes toward something
loose,not tight or firmly fixed in place
lose,to fail to keep or find something
loss,the state of no longer having something
lot,a large amount or number of something
loud,making a strong or high volume sound
love,a strong feeling of deep affection
lovely,very beautiful or pleasant
lover,a person who loves another romantically
"low","not high in position, amount, or level"
"luck","success or failure by chance, not effort"
lucky,having good fortune or chance
lunch,a meal eaten in the middle of the day
luxury,something expensive and enjoyable but not necessary
machine,a device that uses power to do work
mad,very angry or mentally unwell
magazine,a printed publication with articles and pictures
magic,the use of special powers to make things happen
mail,letters and packages sent by post
main,most important or largest in size or amount
mainly,mostly or primarily
maintain,to keep something in good condition or continue
maintenance,the act of keeping something in good condition
major,very important or large in size or number
majority,the greater part or more than half
make,to create or produce something
maker,a person or thing that makes something
"male","a man or boy, the sex that can father children"
man,an adult male human being
manage,to control or be in charge of something
management,the process of organizing and controlling something
manager,a person who is in charge of a group or
manner,a way of doing something or behaving
manufacture,to make goods in large amounts using machines
manufacturer,a company or person that makes products
many,a large number of things or people
map,a drawing showing places or routes
"march","to walk with regular steps, often in a group"
margin,the edge or border of something
mark,a visible sign or spot on a surface
market,a place where people buy and sell goods
marriage,the legal or formal union of two people
marry,to become legally joined as husband and wife
"mass","a large amount of something, a body of matter"
"massive","very large, heavy, or solid"
master,a person with great skill or control
match,a contest or game between opponents
"mate","a partner or companion, especially in animals"
material,the substance from which something is made
"mathematics","the study of numbers, shapes, and patterns"
"matter","a physical substance, something important"
mature,fully grown or developed
maximum,the greatest amount or highest limit
may,used to express possibility or permission
"maybe","perhaps, possibly but not certainly"
mayor,the elected head of a city or town
meal,an occasion when food is eaten
mean,to intend or signify something
"meanwhile","at the same time, during that time"
"measure","to find the size, amount, or degree of something"
"measurement","the size, length, or amount of something"
meat,the flesh of animals used as food
mechanism,a system of parts working together
medical,relating to doctors or medicine
medicine,a substance used to treat illness
medium,a way or channel for communication
meet,to come together with someone
member,a person belonging to a group
membership,the state of being a member
memory,the ability to remember things
mental,relating to the mind or thinking
mention,to briefly talk about something
menu,a list of food or options
"mere","only, nothing more than"
"merely","simply, just, only"
mess,a dirty or untidy state
message,information sent from one to another
"metal","a hard, shiny material like iron"
meter,a device that measures something
method,a way of doing something
middle,the center point or position
might,possibility or strength to do something
"mile","a unit of distance equal to 5,280 feet"
military,relating to the armed forces
milk,a white liquid produced by mammals
mind,the part of a person that thinks
"mine","belonging to me, a place to get minerals"
minimum,the smallest amount allowed or needed
minister,a government official or religious leader
"minor","someone under legal adult age, small or less important"
minority,a smaller part of a group
minute,a unit of time equal to 60 seconds
mirror,a surface that reflects images
"miss","to fail to hit or meet, to feel absence"
mission,an important task or purpose
mistake,an error or wrong action
mix,to combine two or more things
mixture,a combination of different things
mobile,able to move or be moved easily
mode,a way or style of doing something
model,a small copy or example to follow
"moderate","average in amount or degree, not extreme"
modern,relating to the present or recent times
modify,to change something slightly
module,a separate part of a system or machine
mom,informal word for mother
moment,a very short period of time
money,coins or bills used to buy things
monitor,a screen that shows information
month,one of twelve parts of a year
monthly,happening every month
mood,a temporary feeling or state of mind
moon,the natural satellite that orbits Earth
moral,relating to right and wrong behavior
more,a greater amount or number
moreover,in addition to what was said
morning,the early part of the day
mortgage,a loan to buy a house
most,the greatest amount or number
mostly,mainly or generally
mother,a female parent
motion,the act of moving
motivate,to give someone a reason to act
motivation,the reason for doing something
motor,a machine that produces movement
mount,to fix or place something on something else
mountain,a very tall natural hill
mouse,a small rodent or computer device
mouth,the opening in the face for eating and speaking
move,to change position or place
movement,the act of moving
movie,a film or motion picture
much,a large amount or degree
multiple,having or involving many parts
murder,the crime of killing someone intentionally
muscle,tissue in the body that produces movement
museum,a place where objects are displayed
music,organized sounds that are pleasant to hear
musical,relating to music or having music
musician,a person who plays or creates music
must,something necessary or required
mutual,shared by two or more people or groups
myself,the person speaking or writing
mystery,something that is difficult to understand
name,a word used to identify a person or thing
narrative,a story or account of events
"narrow","not wide, limited in width"
nation,a large group of people living in one country
national,relating to a whole country
native,born in a particular place
"natural","existing in nature, not made by humans"
naturally,in a normal or usual way
nature,the physical world and living things
near,close to something in distance or time
nearby,close to a place or person
"nearly","almost, very close to"
necessarily,in a way that cannot be avoided
necessary,needed or required
neck,the part of the body connecting head and shoulders
need,to require something because it is important
negative,expressing no or a bad quality
neglect,to fail to care for properly
negotiate,to discuss to reach an agreement
negotiation,a discussion to reach an agreement
neighbor,a person living near you
neighborhood,an area where people live near each other
neither,not one nor the other of two things
nerve,a part of the body that sends signals
nervous,feeling worried or anxious
net,a material made of threads with holes
network,a group of connected people or things
never,not at any time
"nevertheless","in spite of that, however"
"new","not existing before, recently made"
"newly","recently, just now"
news,information about recent events
newspaper,a printed paper with news and articles
next,coming immediately after
nice,pleasant or kind
night,the time when it is dark outside
no,used to say not any or not at all
"nobody","no person, no one"
"noise","a sound, especially an unwanted one"
none,not any amount or number
nor,used to connect two negative ideas
normal,usual or expected condition
normally,usually or in most cases
north,the direction toward the top of a map
northern,located in the north part of an area
nose,the part of the face used for smelling
not,used to make a word or sentence negative
note,a short written message or comment
"nothing","not anything, no single thing"
notice,to see or become aware of something
notion,an idea or belief about something
"noun","a word that names a person, place, or thing"
novel,a long written story book
now,at the present time
"nowadays","at the present time, compared to before"
nowhere,not in or at any place
nuclear,related to the energy from the atoms center
number,a symbol or word that shows amount or order
numerous,many in number
nurse,a person who cares for sick people
object,a thing that can be seen or touched
objective,a goal or something aimed to achieve
obligation,a duty or responsibility to do something
observation,the act of watching or noticing carefully
observe,to watch or notice something carefully
obvious,easy to see or understand
obviously,in a way that is clear or easy to see
occasion,a particular time or event
occasionally,sometimes but not often
occupy,to live in or take control of a space
occur,to happen or take place
ocean,a very large body of salt water
odd,strange or unusual
of,used to show belonging or connection
off,away from a place or position
offense,an action that breaks a rule or law
offer,to present or give something to someone
office,a room or building where work is done
officer,a person in a position of authority or command
official,approved by authority or relating to an authority
often,frequently or many times
oil,a slippery liquid used for fuel or cooking
okay,acceptable or all right
old,having lived for many years
on,positioned above or supported by something
once,one time in the past
"one","the number 1, a single person or thing"
online,connected to the internet
"only","no more than, solely"
onto,moving to a surface or position on something
open,not closed or allowing access
opera,a dramatic musical performance with singing
operate,to work or control a machine or system
operation,an act of working or functioning
operator,a person who controls a machine or system
opinion,a personal belief or judgment
opponent,a person who competes against another
opportunity,a chance to do something
oppose,to be against or resist something
opposite,completely different or facing something else
opposition,resistance or disagreement
option,a choice or alternative
or,used to connect choices or alternatives
orange,a round citrus fruit or its color
order,an arrangement or a request for something
ordinary,normal or usual
organic,relating to living matter or natural farming
organization,a group with a common purpose
organize,to arrange or put in order
origin,the beginning or source of something
"original","first or earliest, not copied"
originally,at first or in the beginning
other,different or additional
otherwise,in a different way or if not
ought,should or expected to
ourselves,referring to us personally
out,away from the inside or outside position
outcome,the result or effect of something
outline,a simple drawing showing main shapes or ideas
output,the amount produced or sent out
outside,the outer part or area of something
over,above or higher than something else
"overall","including everything, general or total"
overcome,to successfully deal with a problem
overseas,in or to a foreign country across the sea
owe,to need to pay or give something back
own,to have something as your property
owner,a person who owns something
ownership,the state of owning something
pace,the speed at which something moves or happens
pack,to put things into a container or bag
package,a wrapped or boxed item for sending or selling
page,one side of a sheet in a book or document
pain,an unpleasant feeling in the body or mind
paint,a colored liquid used to cover surfaces
pair,two things that are similar and used together
pale,light in color or having little color
panel,a flat piece forming part of a surface or group
panic,a sudden strong feeling of fear or worry
paper,thin material used for writing or printing
paragraph,a group of sentences about one idea
parallel,two lines that are the same distance apart
parent,a mother or father of a child
park,a public green area for recreation
part,a piece or section of something
participant,a person who takes part in an activity
participate,to take part in an activity or event
participation,the act of taking part in something
"particular","specific or special, not general"
particularly,especially or more than usual
partly,to some extent but not completely
partner,a person who shares in an activity or relationship
partnership,a relationship where people work together
party,a social gathering or a group involved in something
pass,to move past or through something
passage,a way through or a section of text
passenger,a person traveling in a vehicle but not driving
passion,a very strong feeling or interest in something
past,time before now
path,a way or track to walk on
patient,able to wait calmly
pattern,a repeated design or model
pause,a short stop or break
pay,to give money for something
payment,the act of giving money owed
peace,a state without war or conflict
peak,the highest point or top
peer,a person of the same age or status
pen,a tool for writing with ink
penalty,a punishment for breaking a rule
pension,regular money paid after retirement
people,human beings in general
per,for each or every
perceive,to notice or become aware of
percent,a part out of one hundred
percentage,a portion expressed as a percent
perception,the way you understand something
perfect,without any mistakes or flaws
perfectly,in a flawless or complete way
perform,to carry out an action or task
performance,how well someone does something
perhaps,maybe or possibly
period,a length of time
permanent,lasting forever or a long time
permission,approval to do something
permit,to allow or give permission
person,a human being
personal,relating to an individual
personality,the qualities that make someone unique
personally,in a way that relates to oneself
personnel,the people who work for an organization
perspective,a particular way of looking at something
persuade,to convince someone to do something
phase,a stage in a process
phenomenon,an observable event or fact
philosophy,the study of basic ideas about life
phone,a device to make voice calls
photo,a picture taken with a camera
photograph,a picture made using a camera
phrase,a small group of words that go together
physical,relating to the body or things you can touch
piano,a large musical instrument with black and white keys
pick,to choose or select something
picture,an image or painting of something
piece,a part or portion of something
pig,a farm animal with a snout and curly tail
pile,a group of things stacked on top of each other
pilot,a person who flies an airplane
pink,a light red color
pipe,a tube used to carry water or gas
pitch,to throw or the high or low sound of a
place,a particular area or location
plain,simple or not decorated
plan,a detailed idea for doing something
plane,a flat surface or an airplane
planet,a large round object orbiting a star
plant,a living thing that grows in the ground
plastic,a material that can be shaped and is not natural
plate,a flat dish for holding food
platform,a raised flat surface or a base for something
play,to take part in a game or activity
player,a person who takes part in a game or sport
pleasant,giving a feeling of happiness or enjoyment
please,used to ask for something politely
pleasure,a feeling of happiness or enjoyment
plenty,a large amount or more than enough
plot,the main events of a story or a secret plan
plus,added to or more than
pocket,a small bag sewn into clothes for carrying things
poem,a piece of writing with rhythm and sometimes rhyme
poet,a person who writes poems
poetry,writing that expresses ideas with rhythm and style
point,a sharp end or a specific idea or place
police,people who enforce the law and keep order
policy,a plan or set of rules to follow
political,relating to government or public affairs
politician,a person involved in government or politics
politics,activities related to governing a country or area
poll,a survey to find peoples opinions
pollution,harmful substances in the environment
pool,a small area of still water
poor,having little money or resources
"pop","a short, sharp sound or burst"
popular,liked by many people
population,all the people living in an area
port,a place where ships load and unload
portion,a part or share of something
portrait,a painting or photo of a person
pose,to hold a position for a photo or art
position,a place or location of something
positive,good or confident in attitude
possess,to have or own something
possession,something owned or controlled
possibility,a chance that something may happen
possible,able to be done or happen
"possibly","maybe, it could happen"
post,to send a letter or message
pot,a container for cooking or plants
potato,a starchy vegetable grown underground
potential,ability to develop or succeed
potentially,possibly but not yet certain
pound,a unit of weight or to hit hard
pour,to cause liquid to flow out
poverty,the state of being very poor
power,ability to do something or control
powerful,having great strength or influence
practical,useful and realistic in real life
practice,to do something repeatedly to improve
praise,to express approval or admiration
pray,to speak to a god or higher power
precise,exact and accurate
precisely,exactly or accurately
predict,to say what will happen before it does
prefer,to like one thing more than another
preference,a greater liking for one option
pregnancy,the state of carrying a baby inside
pregnant,having a baby developing inside
premise,a statement or idea used as a basis
preparation,the act of getting ready for something
prepare,to make ready or get something ready
presence,the state of being in a place
present,to give or show something to others
presentation,a talk or display to share information
preserve,to keep something safe or in good condition
president,the leader of a country or organization
presidential,relating to a president or presidency
press,to push or apply force on something
pressure,the force applied to something by weight or force
presumably,used to say something is likely true
pretend,to act as if something is true when it is
pretty,attractive in a delicate way
prevent,to stop something from happening
previous,coming before in time or order
previously,before now or before a particular time
price,the amount of money something costs
pride,a feeling of satisfaction in oneself or others
primarily,mainly or mostly
primary,most important or first in order
prime,of the best quality or main importance
principal,the most important or main person or thing
principle,a basic truth or rule to follow
print,to produce text or images on paper
printer,a machine that prints text or images
prior,earlier in time or order
priority,something considered more important than others
prison,a place where people are kept as punishment
prisoner,a person kept in prison
private,belonging to one person or group only
privilege,a special right or advantage
prize,an award for winning or achievement
"pro","in favor of something, a professional"
probability,the chance that something will happen
probably,likely to happen or be true
problem,a matter that is difficult to deal with
procedure,a set way of doing something
proceed,to continue or go forward
process,a series of actions to achieve something
produce,to make or create something
producer,a person or company that makes goods or services
product,something made or grown to be sold
production,the process of making or growing things
profession,a type of job that needs special training
professional,someone who does a job for pay
professor,a teacher at a college or university
profile,a short description of a person or thing
profit,money earned after costs are paid
program,a planned series of activities or events
progress,moving forward or improving over time
project,a planned piece of work or task
promise,a statement that you will do something
promote,to help or encourage something to grow
promotion,an advance to a higher position or rank
prompt,to cause or encourage someone to do something
proof,evidence that shows something is true
proper,correct or suitable for a situation
properly,in the right or correct way
property,something owned by a person or group
proportion,a part or share of a whole
proposal,a plan or suggestion for consideration
propose,to suggest or offer an idea or plan
prospect,the possibility of something happening
protect,to keep safe from harm or danger
protection,the act of keeping someone or something safe
protein,a nutrient found in food that builds body tissue
protest,a public show of disagreement or objection
proud,feeling pleased about something you did
prove,to show that something is true
provide,to give or supply what is needed
province,a region or area within a country
provision,the act of supplying something needed
psychological,relating to the mind or mental processes
pub,a place where people drink and eat socially
public,relating to all people or the community
publication,something that is printed or shared with the public
publisher,a person or company that prints books or media
pull,to use force to move something toward you
pump,a device that moves liquids or air
pupil,a student in school or a persons eye opening
purchase,to buy something
pure,completely clean or natural
purpose,the reason for doing something
pursue,to follow or try to get
push,to press something to move it
put,to place something somewhere
qualification,a skill or certificate earned
qualify,to meet the needed requirements
quality,how good something is
quantity,how much of something there is
quarter,one fourth part of something
question,a sentence asking for information
quick,done fast or in a short time
quickly,in a fast or speedy way
quiet,making little or no noise
quietly,in a silent or soft way
quite,to a considerable extent or degree
quote,to repeat someones exact words
race,a competition of speed
racial,relating to race or ethnicity
radical,very new and different
radio,a device for receiving sound broadcasts
rail,a bar of metal or wood for support
rain,water falling from the sky
raise,to lift or move something up
random,without a specific pattern or order
range,a set of different things or numbers
rank,a position in a group or scale
rapid,very fast or quick
rapidly,happening very quickly
rare,not common or unusual
rarely,not often or seldom
rat,a small rodent animal
rate,to judge or assign a value
rather,to some degree or somewhat
ratio,a comparison of two amounts
raw,not cooked or processed
reach,to stretch out to touch or get
react,to respond to something
reaction,a response to an action or event
read,to look at and understand written words
reader,a person who reads
ready,prepared to do something
real,actually existing or true
reality,the state of things as they are
realize,to understand something clearly
"really","in fact, truly"
rear,the back part of something
reason,a cause or explanation for something
reasonable,fair and sensible
reasonably,in a fair and sensible way
recall,to remember something
receive,to get or accept something
recent,happening not long ago
recently,a short time ago
reckon,to think or believe
recognition,accepting or noticing something
recognize,to know someone or something seen before
recommend,to suggest something as good
recommendation,a suggestion or advice
record,to write down or store information
recover,to get better after illness or loss
recovery,the process of getting better
recruit,to find and hire new people
red,a color like blood or fire
reduce,to make something smaller or less
reduction,the act of making smaller or less
refer,to mention or direct attention to
reference,a mention or source of information
reflect,to show an image or think carefully
reflection,an image seen in a mirror or water
reform,to make changes to improve something
refugee,a person fleeing danger or war
refuse,to say no to something
regard,to think about or consider
regardless,without being affected by something
region,a large area or part of a country
regional,relating to a specific area
register,to sign up or record information
registration,the act of signing up or recording
regret,feel sad or sorry about something
regular,happening at fixed times or usual intervals
regularly,happening often or at steady times
regulate,control or manage by rules or laws
regulation,a rule made to control behavior or actions
reject,refuse to accept or believe something
relate,show or make a connection between things
relation,a connection or association between people or things
relationship,the way two or more people or things are connected
relative,considered in comparison to something else
relatively,in comparison with something else
relax,become less tense or anxious
release,set free or allow to be known
relevant,closely connected or important to the matter
reliable,able to be trusted or depended on
relief,a feeling of comfort after stress or pain
religion,a system of beliefs about a god or gods
religious,connected with religion or belief in god
rely,depend on someone or something for help
remain,stay in the same place or condition
remark,say something as a comment
remarkable,unusual and worth noticing
remember,keep something in your mind
remind,make someone think of something again
remote,far away in distance or time
remove,take something away from a place
rent,pay money to use something temporarily
repair,fix something that is broken or damaged
repeat,say or do something again
replace,put something new instead of old
reply,answer or respond to a question or message
report,give information about something seen or heard
reporter,a person who writes or speaks news stories
represent,stand for or act on behalf of someone
representation,a picture or description of something
representative,a person chosen to act for others
reputation,what people generally think about someone
request,ask for something politely
require,need something for a purpose
requirement,something that is needed or demanded
rescue,to save someone from danger or harm
research,careful study to find new information
researcher,a person who studies or investigates
reserve,to keep something for future use
resident,a person who lives in a place
resign,to quit a job or position
resist,to fight against or refuse to accept
resistance,the act of fighting against something
resolution,a firm decision or solution to a problem
resolve,to find a solution or decide firmly
resort,a place for relaxation or vacation
resource,a supply of useful materials or help
respect,to show care or admiration for someone
respectively,in the order given or mentioned
respond,to answer or reply to something
response,an answer or reaction to something
responsibility,a duty or job to take care of
responsible,being in charge or trustworthy
rest,to stop working and relax
restaurant,a place where people buy and eat food
restore,to bring back to a good condition
restrict,to limit or control something
restriction,a rule that limits or controls
result,something that happens because of an action
retail,selling goods directly to customers
retain,to keep or hold onto something
retire,to stop working after a career
retirement,the time when someone stops working
return,to go back to a place or person
reveal,to show or make something known
revenue,money earned by a business or government
reverse,to go backward or change direction
review,to look over or examine again
revise,to change or improve something written
revolution,a big change in government or ideas
reward,something given for good work or behavior
rice,a common grain used as food
rich,having a lot of money or valuable things
rid,to get free of something unwanted
ride,to sit on and control a moving animal or vehicle
"right","correct or true, opposite of left"
ring,a small circular band worn on a finger
rise,to move upward or get up
risk,the chance of something bad happening
rival,a person or thing competing against another
river,a large natural stream of flowing water
road,a path for vehicles or travel
rock,a hard natural mineral material
